WS,Element
ELBUQUET3,VCO.7 de Agosto
ELBUQUET3,VCO.Villacentro
ELBUQUET3,VCO.El Buque
ELBUQUET3,VCO.Barzal Bajo
ELBUQUET3,VCO.Exito:H1
MULTIFAMILIAT4,VCO.Portal de Casibare
MULTIFAMILIAT4,VCO.Corredor Ecologico
MULTIFAMILIAT4,VCO.Gratamira
MULTIFAMILIAT4,VCO.Capachos-2
SAN ANTONIOT3,VCO.Villamelida
SAN ANTONIOT3,VCO.Bosques de Vizcaya
SAN ANTONIOT3,VCO.San Antonio
SAN ANTONIOT3,VCO.Uniportales
SAN ANTONIOT3,VCO.Ocoa
SAN ANTONIOT3,VCO.Campanario
SAN ANTONIOT3,VCO.Llano Alto
ZONANORTET2,VCO.Vanguardia
ZONANORTET2,VCO.San Sebastian
ZONANORTET2,VCO.La Campina
ZONANORTET2,VCO.Caudal Occidental
ZONANORTET2,VCO.Rb Manantial
MET.Apiay-1,MET.Apiay-1
MET.Apiay-3,MET.Apiay-3
CUN.Madrid,CUN.Madrid
SIBERIA,CUN.Florida
SIBERIA,CUN.Peaje Siberia
SIBERIA,CUN.Siberia-3
VILLETA,CUN.Villeta-2
VILLETA,CUN.Alto del Trigo
VILLETA,CUN.Peaje La Vega
CUN.Caqueza-2,CUN.Caqueza-2
CUN.Arbelaez,CUN.Arbelaez
VIAALBAN,FAC.Via Alban
VIAALBAN,CUN.Bojaca-2
BOG.Galan-2,BOG.Galan-2
CENTRONARINO,BOG.Centro Narino
CENTRONARINO,BOG.Centro Narino:H1
CENTRONARINO,BOG.Plaza Hoja
CENTRONARINO,BOG.Paloquemao-1
GERMANIA,BOG.Uniandes
GERMANIA,BOG.Germania
BOG.Club Bellavista,BOG.Club Bellavista
BOG.San Pablo-3,BOG.San Pablo-3
FERIAS,BOG.Las Ferias-1
FERIAS,BOG.Minuto
FERIAS,BOG.Parque Simon Bolivar
FERIAS,BOG.Bonanza-2
FERIAS,BOG.Bonanza
FERIAS,BOG.Acuaparque
FERIAS,BOG.Las Ferias-2
FERIAS,BOG.Cabana
FERIAS,BOG.Acapulco
FERIAS,BOG.Paris Gaitan
METROPOLIS,BOG.Centro Metropolis
METROPOLIS,BOG.Metropolis
METROPOLIS,BOG.Modelo Norte
METROPOLIS,BOG.Floresta-2
SANJOSE,BOG.Rb Ricaurte-2:H1
SANJOSE,BOG.Rb Veraguas
SANJOSE,BOG.San Jose-2
SANJOSE,BOG.Santa Isabel-2
SANJOSE,BOG.San Jose-1
SANJOSE,BOG.Santa Ines-2
SANJOSE,BOG.San Facon
SANJOSE,BOG.San Jose-3
SANJOSE,BOG.Comuneros
SANJOSE,BOG.Santa Isabel
BOG.Gobernacion,BOG.Gobernacion
BOG.Potosi,BOG.Potosi
BOG.Corferias-2,BOG.Corferias-2
BOG.Trinidad,BOG.Trinidad
